plant_name,type,leaves,flowers,fruits,growth,uses,image_filename
Allium cepa (Onion),Herbaceous biennial (grown as an annual),"Hollow, tubular, green, 30–50 cm long, 0.5–1 cm wide","Swollen, layered, varies in color (white, red, yellow)","Small, white or purple, in spherical clusters",Typically 30–60 cm tall,"Culinary, medicinal, pest repellent",PlantPhotos-1-20.pdf-image-000.jpg
Premna coriacea,Shrub or small tree,"Elliptical to oblong, 5–15 cm long, 3–7 cm wide, leathery texture","Small, white or pale yellow, in terminal clusters","Small, round, dark purple to black when ripe",Can reach 2–6 meters in height,"Traditional medicine, firewood, fodder for livestock",PlantPhotos-1-20.pdf-image-001.jpg
" Lagerstroemia speciosa (Giant Crape Myrtle, Pride of India)",Deciduous tree,"Oblong to ellip c, 8–20 cm long, 4–8 cm wide, glossy green "," Large, pink to purple, crinkled petals, in terminal panicles"," Woody capsules, brown, 1.5–2.5 cm in diameter ", 10–20 meters tall,"Ornamental, medicinal (used for diabetes), timber production",PlantPhotos-1-20.pdf-image-002.jpg
Dendrobium barbatulum Lindl. (Small Bearded Dendrobium),Epiphytic herbaceous orchid," Opposite, unequal pairs; larger leaves 1–4 cm long, 0.5–2.5 cm wide; smaller leaves 0.5
3 cm long, 0.4–2 cm wide; ovate to lanceolate; base cuneate or subacute; margin repand; apex 
acute to apiculate; subsucculent; pe ole up to 1.2 cm long","Creamy white to bluish-pink, approximately 2.5 cm wide, arranged in racemes of 5–6 
flowers at branch ends; dorsal sepal 12.5 x 4.5 mm; lateral sepals 12.5 x 8 mm; petals 13.5 x 9 
mm; lip 13 x 11 mm, 3-lobed with yellow hairs on the disc ", Not widely documented ,"Pseudobulbs are purplish-brown, tapered, curved, 5–10 cm long, swollen at the base",Primarily ornamental.,PlantPhotos-1-20.pdf-image-003.jpg
Boerhavia erecta (Erect Spiderling),Perennial herb," Opposite, unequal pairs; larger leaves 1–4 cm long, 0.5–2.5 cm wide; smaller leaves 0.5
3 cm long, 0.4–2 cm wide; ovate to lanceolate; base cuneate or subacute; margin repand; apex 
acute to apiculate; subsucculent; pe ole up to 1.2 cm long","White with pink stripes; tube 2–2.5 mm long; arranged in panicles or umbel-like clusters 
in leaf axils or at branch ends; 3–9 flowers per bunch  ","Obconic, glabrous; approximately 2.5 mm long; apex truncate; grooves between ribs 
somewhat undulate  "," Erect stems, 20–120 cm tall; profusely branched primarily distally; minutely puberulent 
with bent hairs basally, usually glabrous distally "," Leaves consumed as a vegetable and in sauces in West and East Africa; ca le graze on its 
leaves in the Sahel; roots used in tradi onal medicine as an aphrodisiac and for trea ng 
umbilical cord stumps. ",PlantPhotos-1-20.pdf-image-004.jpg
"Aerides maculosa (Fox Brush Orchid, Cat's-tail Orchid) ",Epiphy c orchid," Leathery, bilobed at the apex; length ranges from 10–20 cm; width approximately 2–3 
cm","Waxy, fragrant, white with pink or magenta spots; each flower about 2–4 cm in 
diameter; arranged in arching to pendulous racemes up to 25 cm long, bearing mul ple flowers",Not widely documented, Erect stem with monopodial growth; overall plant height between 30–60 cm, Primarily ornamental; cul vated for its a rac ve and fragrant flowers ,PlantPhotos-1-20.pdf-image-005.jpg
Smithsonia viridiflora (Harikantaa),Epiphytic orchid,"Typically two, occasionally with a smaller third leaf between them; 3–9 cm long, 1.5–2 
cm wide; tapering at the base and bilobed"," Greenish-white, approximately 1.5 cm across; arranged in corymbs or umbels on a 3–5 
cm long stalk; sepals and petals pale green, 6–7 mm long and 3–4 mm wide; lip white and fleshy 
with small lateral lobes streaked with red; mid-lobe semicircular, about 3 mm by 6 mm; spur 
conical, fleshy, 3.5 mm long, white with red streaks ",Not widely documented," Herbaceous, 5–10 cm tall; short sheathed stem. ", Primarily ornamental.,PlantPhotos-1-20.pdf-image-006.jpg
Eriolaena quinquelocularis (Bothi),Small tree," Round or broadly ovate, 5–8 cm across; thickly papery with a heart-shaped base; 
toothed margins; apex obtuse or acute; pe ole 1.5–3 cm long  "," Yellow, 3–5 cm long; five linear sepals and five oblong petals that reflex between sepals; 
dense tu of stamens as long as petals; arranged in cyme-like inflorescences up to 9 cm long, 
terminal or axillary  "," Long ellipsoid capsule, 3–4.5 cm long, 2.5 cm wide; 5–10 valved  ", Up to 10 meters tall; gray-white bark; young branchlets sparsely hairy  ,"In Nashik district, Maharashtra, tribes consider bothi auspicious and e its twigs to doors 
to ward off evil spirits  ",PlantPhotos-1-20.pdf-image-007.jpg
Zingiber neesanum (Neesan's Ginger),Perennial herb," Oblong-lanceolate to ovate-ellip c; typically 2–5 per plant; sheathing at the base; 
specific measurements not widely documented","Yellow-green, small; arranged in dense racemes clustered at the top of the scape; each 
flower has three petals with a yellow center",Not widely documented," Thrives in moist, shaded areas of tropical forests; has a thick, fleshy stem; prefers well
drained, moisture-reten ve soil rich in organic ma er; sensi ve to dry soil and should be 
watered frequently","Employed in tradi onal medicine to address ailments such as fever, colds, and diges ve 
issues; u lized as a spice in culinary applica ons and as a natural dye for fabric",PlantPhotos-1-20.pdf-image-008.jpg
Ceropegia sahyadrica,Herbaceous plant," Opposite, pe olate, approximately 7 cm long; somewhat pubescent","Dense, white, about 5 cm in size?",Not widely documented," Erect herb, around 1.5 feet (45 cm) high; thrives in grasslands and moist places; 
flowering and fruitng occur between August and September ", Not widely documented ,PlantPhotos-1-20.pdf-image-009.jpg
